Chapter,Type,Type#,Formula#,Path,latex
10,10.1,Definition,4,real_and_complex/10.1 Definition_10_4.jpg,"$E \subset V \cup W, \quad E \cap V \neq \varnothing, \quad E \cap W \neq \varnothing, \quad E \cap V \cap W=\varnothing$"
17,17.11,Theorem,4,real_and_complex/17.11 Theorem_17_4.jpg,"$f_{r}(z)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} P\left(z, e^{i t}\right) f_{r}\left(e^{i t}\right) d t$."
2,2.25,The,6,real_and_complex/2.25 The Vitali-Carathéodory Theorem_2_6.jpg,$\sum_{N+1}^{\infty} c_{i} \mu\left(E_{i}\right)<\frac{\epsilon}{2}$
10,10.10,Theorem,5,real_and_complex/10.10 Theorem_10_5.jpg,$\varphi(t)=\frac{\gamma(t)-z}{\gamma(\alpha)-z} \quad(\alpha \leq t \leq \beta)$.
20,20.2,Lemma,1,real_and_complex/20.2 Lemma_20_1.jpg,"$Q(\zeta, z)=g(z)+(\zeta-b) g^{2}(z)$"
19,19.9,Theorem,5,real_and_complex/19.9 Theorem_19_5.jpg,$n \beta B^{n}\left|\int_{a}^{x}(x-t)^{n-1} d t\right|=\beta|B(x-a)|^{n}$.
10,10.21,Theorem,2,real_and_complex/10.21 Theorem_10_2.jpg,$g(z)=(z-a)^{m} g_{1}(z) \quad(z \in D)$
11,11.30,Theorem,7,real_and_complex/11.30 Theorem_11_7.jpg,$\int_{T}\left|u_{r}\right| d \sigma=\int_{T} u_{r} d \sigma=u \quad(0 \leq r<1)$
3,3.8,Theorem,2,real_and_complex/3.8 Theorem_3_2.jpg,$|f(x) g(x)| \leq\|f\|_{\infty}|g(x)|$
2,2.13,Theorem,13,real_and_complex/2.13 Theorem_2_13.jpg,$\mu(E) \leq \sum_{i=1}^{N} \mu\left(E_{i}\right)+\epsilon$
18,18.20,Theorem,8,real_and_complex/18.20 Theorem_18_8.jpg,$h(f)=f\left(e^{i \alpha}\right) \quad(f \in A)$.
6,6.19,Theorem,1,real_and_complex/6.19 Theorem_6_1.jpg,$\Phi f=\int_{X} f d \mu$
10,10.40,Theorem,6,real_and_complex/10.40 Theorem_10_6.jpg,"$\left|\gamma_{k}(s)-H(s, k / n)\right|<\epsilon \quad(k=0, \ldots, n ; 0 \leq s \leq 1)$"
1,1.29,Theorem,5,real_and_complex/1.29 Theorem_1_5.jpg,$\varphi(E)=\sum_{j=1}^{\infty} \varphi\left(E_{j}\right)$
5,5.21,Remark,7,real_and_complex/5.21 Remark_5_7.jpg,$\Lambda f=\frac{1}{2} \Lambda(1+g)=\frac{1}{2}(1+\alpha) \geq 0$
10,10.6,Theorem,7,real_and_complex/10.6 Theorem_10_7.jpg,$f^{(k)}(z)=\sum_{n=k}^{\infty} n(n-1) \cdots(n-k+1) c_{n}(z-a)^{n-k}$
12,12.1,Definition,1,real_and_complex/12.1 Definition_12_1.jpg,$|f(z)| \leq\|f\|_{\partial \Omega}$
10,10.30,Theorem,22,real_and_complex/10.30 Theorem_10_22.jpg,$\left|\varphi\left(z_{1}\right)-\varphi\left(z_{2}\right)\right| \geq \frac{1}{2}\left|\varphi^{\prime}\left(z_{0}\right)\right|\left|z_{1}-z_{2}\right|$
2,2.12,Urysohn’s,1,real_and_complex/2.12 Urysohn’s Lemma_2_1.jpg,$K \prec f \prec V$.
17,17.5,Theorem,3,real_and_complex/17.5 Theorem_17_3.jpg,"$\left\|f_{r}\right\|_{\infty}=\sup _{\theta}\left|f\left(r e^{i \theta}\right)\right|$,"
8,8.8,Theorem,6,real_and_complex/8.8 Theorem_8_6.jpg,"$\int_{X} \varphi_{n} d \mu=\int_{X \times Y} s_{n} d(\mu \times \lambda) \quad(n=1,2,3, \ldots)$."
19,19.2,Theorem,6,real_and_complex/19.2 Theorem_19_6.jpg,$|\Phi(\beta)|^{2}=\left|\int_{I} f(\beta+i u) e^{-i t(\beta+i u)} d u\right|^{2} \leq \int_{I}|f(\beta+i u)|^{2} d u \int_{I} e^{2 t u} d u$.
3,3.11,Theorem,1,real_and_complex/3.11 Theorem_3_1.jpg,"$\left\|f_{n_{i+1}}-f_{n_{i}}\right\|_{p}<2^{-i} \quad(i=1,2,3, \ldots)$"
20,20.3,Lemma,5,real_and_complex/20.3 Lemma_20_5.jpg,"$-\frac{1}{2 \pi} \int_{0}^{2 \pi} d \theta \int_{\epsilon}^{\infty} \frac{\partial \varphi}{\partial r} d r=\frac{1}{2 \pi} \int_{0}^{2 \pi} \varphi(\epsilon, \theta) d \theta$"
7,7.15,Theorem,0,real_and_complex/7.15 Theorem_7_0.jpg,"(a) Put $f(x)=x^{2} \sin \left(x^{-2}\right)$ if $x \neq 0, f=0$. Then $f$ is differentiable at every"
9,9.15,Remark,9,real_and_complex/9.15 Remark_9_9.jpg,$\varphi^{2} \cdot g=\varphi \cdot P g=P^{2} g=P g=\varphi \cdot g$
6,6.7,Definition,2,real_and_complex/6.7 Definition_6_2.jpg,$\lambda_{1} \perp \lambda_{2}$.
1,1.38,Theorem,2,real_and_complex/1.38 Theorem_1_2.jpg,$f(x)=\sum_{n=1}^{\infty} f_{n}(x)$
15,15.6,Theorem,1,real_and_complex/15.6 Theorem_15_1.jpg,$\sum_{n=1}^{\infty}\left|1-f_{n}(z)\right|$
5,5.9,The,4,real_and_complex/5.9 The Open Mapping Theorem_5_4.jpg,$\left\|y-\Lambda x_{1}\right\|<\frac{1}{2} \delta \epsilon$.
10,10.42,The,4,real_and_complex/10.42 The Residue Theorem_10_4.jpg,$\operatorname{Ind}_{\Gamma}(\alpha)=0 \quad$ for all $\quad \alpha \notin \Omega$
3,3.1,Definition,1,real_and_complex/3.1 Definition_3_1.jpg,$\varphi((1-\lambda) x+\lambda y) \leq(1-\lambda) \varphi(x)+\lambda \varphi(y)$
6,6.16,Theorem,3,real_and_complex/6.16 Theorem_6_3.jpg,$\|\Phi\| \leq\|g\|_{q}$.
6,6.19,Theorem,11,real_and_complex/6.19 Theorem_6_11.jpg,"$\Lambda f \leq\left|\Phi\left(h_{1}\right)\right|+\epsilon, \quad \Lambda g \leq\left|\Phi\left(h_{2}\right)\right|+\epsilon$"
2,2.1,Definition,1,real_and_complex/2.1 Definition_2_1.jpg,"$\alpha(x+y)=\alpha x+\alpha y,(\alpha+\beta) x=\alpha x+\beta x$"
8,8.14,Theorem,0,real_and_complex/8.14 Theorem_8_0.jpg,$\|f\|_{1}=\int_{-\infty}^{\infty}|f(x)| d x$
5,5.25,Theorem,2,real_and_complex/5.25 Theorem_5_2.jpg,$f(z)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} \frac{1-r^{2}}{1-2 r \cos (\theta-t)+r^{2}} f\left(e^{i t}\right) d t \quad\left(z=r e^{i \theta}\right)$
6,6.19,Theorem,10,real_and_complex/6.19 Theorem_6_10.jpg,$\Lambda(f+g)=\Lambda f+\Lambda g \quad\left(f\right.$ and $\left.g \in C_{c}^{+}(X)\right)$
8,8.14,Theorem,1,real_and_complex/8.14 Theorem_8_1.jpg,$\int_{-\infty}^{\infty}|f(x-y) g(y)| d y<\infty$
6,6.16,Theorem,2,real_and_complex/6.16 Theorem_6_2.jpg,$\|\Phi\|=\|g\|_{q}$.
16,16.14,Theorem,2,real_and_complex/16.14 Theorem_16_2.jpg,"$H(s, 0)=\Gamma(s), \quad H(s, 1)=c \in X, \quad H(0, t)=H(2 \pi, t)$"
5,5.9,The,5,real_and_complex/5.9 The Open Mapping Theorem_5_5.jpg,$\left\|y-\Lambda x_{1}-\cdots-\Lambda x_{n}\right\|<2^{-n} \delta \epsilon$.
19,19.11,Theorem,11,real_and_complex/19.11 Theorem_19_11.jpg,"$\lambda_{n}=\frac{M_{n-1}}{M_{n}} \quad(n=1,2,3, \ldots)$"
1,1.38,Theorem,3,real_and_complex/1.38 Theorem_1_3.jpg,$\int_{X} f d \mu=\sum_{n=1}^{\infty} \int_{X} f_{n} d \mu$.
6,6.10,The,1,real_and_complex/6.10 The Theorem_6_1.jpg,"$\lambda=\lambda_{a}+\lambda_{s}, \quad \lambda_{a} \ll \mu, \quad \lambda_{s} \perp \mu$."
9,9.15,Remark,8,real_and_complex/9.15 Remark_9_8.jpg,$P f=\varphi \cdot f \quad\left(f \in L^{2}\right)$.
7,7.15,Theorem,1,real_and_complex/7.15 Theorem_7_1.jpg,$f(x)-f(a)=\int_{a}^{x} f^{\prime}(t) d t \quad(a \leq x \leq b)$.
20,20.3,Lemma,4,real_and_complex/20.3 Lemma_20_4.jpg,$-\frac{1}{2 \pi} \int_{\epsilon}^{\infty} \int_{0}^{2 \pi}\left(\frac{\partial \varphi}{\partial r}+\frac{i}{r} \frac{\partial \varphi}{\partial \theta}\right) d \theta d r$
8,8.8,Theorem,7,real_and_complex/8.8 Theorem_8_7.jpg,$f_{x}=\left(f^{+}\right)_{x}-\left(f^{-}\right)_{x}$
17,17.15,Theorem,1,real_and_complex/17.15 Theorem_17_1.jpg,$M(z)=c B(z) \exp \left\{-\int_{-\pi}^{\pi} \frac{e^{i t}+z}{e^{i t}-z} d \mu(t)\right\} \quad(z \in U)$
20,20.4,Tietze’s,1,real_and_complex/20.4 Tietze’s Extension Theorem_20_1.jpg,"$K^{+}=\left\{x \in K: f(x) \geq \frac{1}{3}\right\}, \quad K^{-}=\left\{x \in K: f(x) \leq-\frac{1}{3}\right\}$"
17,17.5,Theorem,2,real_and_complex/17.5 Theorem_17_2.jpg,$\left\|f_{r}\right\|_{p}=\left\{\int_{T}\left|f_{r}\right|^{p} d \sigma\right\}^{1 / p} \quad(0<p<\infty)$
7,7.8,Theorem,2,real_and_complex/7.8 Theorem_7_2.jpg,"$f(x)=\lim _{r \rightarrow 0} \frac{1}{m\left(B_{r}\right)} \int_{B(x, r)} f d m=\lim _{r \rightarrow 0} \frac{\mu(B(x, r))}{m(B(x, r))}$."
10,10.6,Theorem,6,real_and_complex/10.6 Theorem_10_6.jpg,$\left|\frac{f(z)-f(w)}{z-w}-g(w)\right| \leq|z-w| \sum_{n=2}^{\infty} n^{2}\left|c_{n}\right| \rho^{n-2}$
5,5.21,Remark,6,real_and_complex/5.21 Remark_5_6.jpg,$(\beta+r)^{2} \leq|\alpha+i(\beta+r)|^{2}=|\Lambda(g+i r)|^{2} \leq 1+r^{2}$
1,1.29,Theorem,4,real_and_complex/1.29 Theorem_1_4.jpg,"$\varphi(E)=\int_{X} \chi_{E} f d \mu, \quad \varphi\left(E_{j}\right)=\int_{X} \chi_{E_{j}} f d \mu$."
10,10.40,Theorem,7,real_and_complex/10.40 Theorem_10_7.jpg,"$\left|\gamma_{0}(s)-\Gamma_{0}(s)\right|<\epsilon, \quad\left|\gamma_{n}(s)-\Gamma_{1}(s)\right|<\epsilon$."
2,2.13,Theorem,12,real_and_complex/2.13 Theorem_2_12.jpg,$\mu(E) \geq \mu\left(K_{n}\right)=\sum_{i=1}^{n} \mu\left(H_{i}\right)>\sum_{i=1}^{n} \mu\left(E_{i}\right)-\epsilon$
9,9.3,Remark,4,real_and_complex/9.3 Remark_9_4.jpg,$g(x)=\sum_{-\infty}^{\infty} c_{n} e^{i n x}$
19,19.1,Definition,6,real_and_complex/19.1 Definition_19_6.jpg,$|f(z)| \leq C e^{A|z|}$
11,11.30,Theorem,6,real_and_complex/11.30 Theorem_11_6.jpg,$\int_{T} f d \mu=0$
10,10.21,Theorem,3,real_and_complex/10.21 Theorem_10_3.jpg,$f(z)-w=(z-a)^{-m} h(z) \quad\left(z \in D^{\prime}\right)$.
20,20.2,Lemma,0,real_and_complex/20.2 Lemma_20_0.jpg,$\lambda_{2}(\zeta)=\frac{1}{2 \pi i} \int_{\Gamma_{0}}(z-\zeta) g(z) d z=b-\zeta$
10,10.10,Theorem,4,real_and_complex/10.10 Theorem_10_4.jpg,$\frac{\varphi^{\prime}(t)}{\varphi(t)}=\frac{\gamma^{\prime}(t)}{\gamma(t)-z}$
4,4.14,Theorem,2,real_and_complex/4.14 Theorem_4_2.jpg,$\|y\|^{2}=\sum_{\alpha \in F}|\varphi(\alpha)|^{2}$.
3,3.5,Theorem,9,real_and_complex/3.5 Theorem_3_9.jpg,$\int f \cdot(f+g)^{p-1} \leq\left\{\int f^{p}\right\}^{1 / p}\left\{\int(f+g)^{(p-1) q}\right\}^{1 / q}$.
15,15.15,Theorem,2,real_and_complex/15.15 Theorem_15_2.jpg,"$\left[g_{1}, \ldots, g_{n-1}, g_{n}\right]=\left[\varphi, g_{n}\right]$"
20,20.2,Lemma,13,real_and_complex/20.2 Lemma_20_13.jpg,"$\varphi(z)=\left[Q(\zeta, z)-\frac{1}{z-\zeta}\right](z-\zeta)^{3}$"
2,2.25,The,5,real_and_complex/2.25 The Vitali-Carathéodory Theorem_2_5.jpg,"$v=\sum_{i=1}^{\infty} c_{i} \chi_{V_{i}}, \quad u=\sum_{i=1}^{N} c_{i} \chi_{K_{i}}$"
20,20.2,Lemma,2,real_and_complex/20.2 Lemma_20_2.jpg,"$|Q(\zeta, z)|<\frac{100}{r}$"
20,20.5,Theorem,19,real_and_complex/20.5 Theorem_20_19.jpg,"$R(\zeta, z)=Q_{j}(\zeta, z) \quad\left(\zeta \in X_{j}, z \in \Omega\right)$"
20,20.5,Theorem,25,real_and_complex/20.5 Theorem_20_25.jpg,"$|F(z)-\Phi(z)|<6,000 \omega(\delta) \quad(z \in \Omega)$."
10,10.21,Theorem,1,real_and_complex/10.21 Theorem_10_1.jpg,$g(z)=\frac{1}{f(z)-w} \quad\left(z \in D^{\prime}\right)$
11,11.30,Theorem,4,real_and_complex/11.30 Theorem_11_4.jpg,"$g\left(e^{i t}\right)=P\left(z, e^{i t}\right)$"
9,9.3,Remark,6,real_and_complex/9.3 Remark_9_6.jpg,$f(x)=\int_{-\infty}^{\infty} \hat{f}(t) e^{i t x} d m(t)$
2,2.13,Theorem,10,real_and_complex/2.13 Theorem_2_10.jpg,$\mu\left(K_{1} \cup K_{2}\right)=\mu\left(K_{1}\right)+\mu\left(K_{2}\right)$
3,3.8,Theorem,1,real_and_complex/3.8 Theorem_3_1.jpg,$\|f g\|_{1} \leq\|f\|_{p}\|g\|_{q}$.
19,19.1,Definition,4,real_and_complex/19.1 Definition_19_4.jpg,$f(z)=\int_{-A}^{A} F(t) e^{i t z} d t$
6,6.19,Theorem,2,real_and_complex/6.19 Theorem_6_2.jpg,$\|\Phi\|=|\mu|(X)$.
9,9.6,Theorem,4,real_and_complex/9.6 Theorem_9_4.jpg,$2 \hat{f}(t)=\int_{-\infty}^{\infty}\left\{f(x)-f\left(x-\frac{\pi}{t}\right)\right\} e^{-i t x} d m(x)$
1,1.29,Theorem,6,real_and_complex/1.29 Theorem_1_6.jpg,$d \varphi=f d \mu$.
5,5.21,Remark,4,real_and_complex/5.21 Remark_5_4.jpg,$\Lambda f=f(x) \quad(f \in M)$
10,10.40,Theorem,5,real_and_complex/10.40 Theorem_10_5.jpg,"$\gamma_{k}(s)=H\left(\frac{i}{n}, \frac{k}{n}\right)(n s+1-i)+H\left(\frac{i-1}{n}, \frac{k}{n}\right)(i-n s)$"
2,2.12,Urysohn’s,2,real_and_complex/2.12 Urysohn’s Lemma_2_2.jpg,$K \subset V_{1} \subset \bar{V}_{1} \subset V_{0} \subset \bar{V}_{0} \subset V$.
12,12.1,Definition,2,real_and_complex/12.1 Definition_12_2.jpg,"$|f(z)| \leq\left\|f^{*}\right\|_{\infty} \quad\left(z \in U, f \in H^{\infty}(U)\right)$."
10,10.6,Theorem,4,real_and_complex/10.6 Theorem_10_4.jpg,$(z-w) \sum_{k=1}^{n-1} k w^{k-1} z^{n-k-1}$
14,14.22,Theorem,8,real_and_complex/14.22 Theorem_14_8.jpg,$f(\theta)=\sum_{k=-n}^{n} a_{k} e^{i k \theta}$
20,20.4,Tietze’s,3,real_and_complex/20.4 Tietze’s Extension Theorem_20_3.jpg,"$\left|f-f_{1}-f_{2}\right| \leq\left(\frac{2}{3}\right)^{2}$ on $K, \quad\left|f_{2}\right| \leq \frac{1}{3} \cdot \frac{2}{3}$ on $X$."
19,19.2,Theorem,5,real_and_complex/19.2 Theorem_19_5.jpg,$\int_{\Gamma_{\alpha}} f(z) e^{-i t z} d z=0$
9,9.10,Theorem,4,real_and_complex/9.10 Theorem_9_4.jpg,$\left\|f * h_{\lambda}-f\right\|_{p}^{p} \leq \int_{-\infty}^{\infty}\left\|f_{y}-f\right\|_{p}^{p} h_{\lambda}(y) d m(y)$
8,8.8,Theorem,5,real_and_complex/8.8 Theorem_8_5.jpg,"$\int_{X} d \mu(x) \int_{Y}|f(x, y)| d \lambda(y)<\infty$"
7,7.15,Theorem,3,real_and_complex/7.15 Theorem_7_3.jpg,"$\mu\left(W_{j, N}\right)<3^{k} N / j$"
6,6.7,Definition,1,real_and_complex/6.7 Definition_6_1.jpg,$\lambda \ll \mu$
3,3.11,Theorem,2,real_and_complex/3.11 Theorem_3_2.jpg,"$g_{k}=\sum_{i=1}^{k}\left|f_{n_{i+1}}-f_{n_{i}}\right|, \quad g=\sum_{i=1}^{\infty}\left|f_{n_{i+1}}-f_{n_{i}}\right|$"
6,6.10,The,3,real_and_complex/6.10 The Theorem_6_3.jpg,"$\lambda_{a}^{\prime}-\lambda_{a}=\lambda_{s}-\lambda_{s}^{\prime}$,"
5,5.9,The,7,real_and_complex/5.9 The Open Mapping Theorem_5_7.jpg,$\Lambda((1+\epsilon) U) \supset \delta V$
15,15.6,Theorem,2,real_and_complex/15.6 Theorem_15_2.jpg,$\sum_{n=1}^{\infty}\left|1-f_{n}(z)\right|$
1,1.38,Theorem,1,real_and_complex/1.38 Theorem_1_1.jpg,$\sum_{n=1}^{\infty} \int_{X}\left|f_{n}\right| d \mu<\infty$
2,2.1,Definition,2,real_and_complex/2.1 Definition_2_2.jpg,$\Lambda(\alpha x+\beta y)=\alpha \Lambda x+\beta \Lambda y$
5,5.25,Theorem,1,real_and_complex/5.25 Theorem_5_1.jpg,$\sup _{z \in U}|f(z)|=\sup _{z \in T}|f(z)|$
8,8.14,Theorem,3,real_and_complex/8.14 Theorem_8_3.jpg,$\|h\|_{1} \leq\|f\|_{1}\|g\|_{1}$
6,6.19,Theorem,12,real_and_complex/6.19 Theorem_6_12.jpg,"$h_{1}(x)=\frac{f(x)+g(x)}{f(x)}, \quad h_{2}(x)=\frac{}{f(x)+g(x)} \quad(x \in V)$"
6,6.16,Theorem,1,real_and_complex/6.16 Theorem_6_1.jpg,$\Phi(f)=\int_{X} f g d \mu \quad\left(f \in L^{p}(\mu)\right)$
8,8.14,Theorem,2,real_and_complex/8.14 Theorem_8_2.jpg,$h(x)=\int_{-\infty}^{\infty} f(x-y) g(y) d y$.
2,2.1,Definition,3,real_and_complex/2.1 Definition_2_3.jpg,$\Lambda f=\int_{0}^{1} f(x) d x \quad(f \in C)$
6,6.19,Theorem,13,real_and_complex/6.19 Theorem_6_13.jpg,"$\Lambda f=\Lambda f^{+}-\Lambda f^{-} \quad\left(f \in C_{c}(X), f\right.$ real $)$"
16,16.14,Theorem,1,real_and_complex/16.14 Theorem_16_1.jpg,$\Gamma(s)=\left\{\begin{array}{ll}\Gamma_{0}(s) & (0 \leq s \leq \pi) \\ \Gamma_{1}(2 \pi-s) & (\pi \leq s \leq 2 \pi)\end{array}\right.$
15,15.6,Theorem,3,real_and_complex/15.6 Theorem_15_3.jpg,$m(f ; z)=\sum_{n=1}^{\infty} m\left(f_{n} ; z\right) \quad(z \in \Omega)$
19,19.11,Theorem,12,real_and_complex/19.11 Theorem_19_12.jpg,$\left(a_{n} \lambda_{n}\right)^{n} \leq M_{n} \cdot \lambda_{1} \lambda_{2} \cdots \lambda_{n}=1$.
5,5.9,The,6,real_and_complex/5.9 The Open Mapping Theorem_5_6.jpg,"$\left\|x_{n+1}\right\|<2^{-n} \epsilon \quad(n=1,2,3, \ldots)$"
6,6.10,The,2,real_and_complex/6.10 The Theorem_6_2.jpg,$\lambda_{a}(E)=\int_{E} h d \mu$
3,3.11,Theorem,3,real_and_complex/3.11 Theorem_3_3.jpg,$f_{n_{1}}(x)+\sum_{i=1}^{\infty}\left(f_{n_{i+1}}(x)-f_{n_{i}}(x)\right)$
7,7.15,Theorem,2,real_and_complex/7.15 Theorem_7_2.jpg,"$\mu\left(B\left(x, r_{i}\right)\right)<N m\left(B\left(x, r_{i}\right)\right)$."
8,8.8,Theorem,4,real_and_complex/8.8 Theorem_8_4.jpg,"$\int_{X} d \mu(x) \int_{Y} f(x, y) d \lambda(y)=\int_{Y} d \lambda(y) \int_{X} f(x, y) d \mu(x)$."
19,19.2,Theorem,4,real_and_complex/19.2 Theorem_19_4.jpg,$F(t)=e^{t y} \cdot \frac{1}{2 \pi} \int_{-\infty}^{\infty} f(x+i y) e^{-i t x} d x=\frac{1}{2 \pi} \int f(z) e^{-i t z} d z$
17,17.5,Theorem,1,real_and_complex/17.5 Theorem_17_1.jpg,$m(r)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} u\left(r e^{i \theta}\right) d \theta \quad(0 \leq r<1)$.
20,20.4,Tietze’s,2,real_and_complex/20.4 Tietze’s Extension Theorem_20_2.jpg,"$\left|f-f_{1}\right| \leq \frac{2}{3}$ on $K, \quad\left|f_{1}\right| \leq \frac{1}{3}$ on $X$."
2,2.12,Urysohn’s,3,real_and_complex/2.12 Urysohn’s Lemma_2_3.jpg,$s>r$ implies $\bar{V}_{s} \subset V_{r}$.
10,10.6,Theorem,5,real_and_complex/10.6 Theorem_10_5.jpg,$\frac{n(n-1)}{2} \rho^{n-2}$
7,7.8,Theorem,1,real_and_complex/7.8 Theorem_7_1.jpg,$\mu(E)=\int_{E}(D \mu) d m$
10,10.40,Theorem,4,real_and_complex/10.40 Theorem_10_4.jpg,"$\left|H(s, t)-H\left(s^{\prime}, t^{\prime}\right)\right|<\epsilon \quad$ if $\quad\left|s-s^{\prime}\right|+\left|t-t^{\prime}\right| \leq 1 / n$."
9,9.6,Theorem,5,real_and_complex/9.6 Theorem_9_5.jpg,"$2|\hat{f}(t)| \leq\left\|f-f_{\pi / t}\right\|_{1}$,"
5,5.21,Remark,5,real_and_complex/5.21 Remark_5_5.jpg,"$\Lambda 1=1, \quad\|\Lambda\|=1$"
6,6.19,Theorem,3,real_and_complex/6.19 Theorem_6_3.jpg,$|\mu|(X)=\int_{X}\left(\bar{h}-f_{n}\right) h d|\mu| \leq \int_{X}\left|\bar{h}-f_{n}\right| d|\mu|$
10,10.2,Definition,4,real_and_complex/10.2 Definition_10_4.jpg,$\frac{h(z)-h\left(z_{0}\right)}{z-z_{0}}=\left[g^{\prime}\left(f\left(z_{0}\right)\right)+\eta(f(z))\right]\left[f^{\prime}\left(z_{0}\right)+\epsilon(z)\right]$
19,19.1,Definition,5,real_and_complex/19.1 Definition_19_5.jpg,$|f(z)| \leq \int_{-A}^{A}|F(t)| e^{-t y} d t \leq e^{A|y|} \int_{-A}^{A}|F(t)| d t$.
9,9.3,Remark,7,real_and_complex/9.3 Remark_9_7.jpg,$\int_{-\infty}^{\infty} e^{i(t-s) x} d x$
2,2.13,Theorem,11,real_and_complex/2.13 Theorem_2_11.jpg,"$\mu\left(H_{i}\right)>\mu\left(E_{i}\right)-2^{-i} \epsilon \quad(i=1,2,3, \ldots)$"
11,11.30,Theorem,5,real_and_complex/11.30 Theorem_11_5.jpg,$\int_{T} u_{r} d \mu=\int_{T} v_{r} f d \sigma \quad(0 \leq r<1)$.
20,20.5,Theorem,24,real_and_complex/20.5 Theorem_20_24.jpg,"$2 \pi \int_{4 \delta}^{\infty} \frac{4,000 \delta^{2}}{\rho^{3}} \rho d \rho=2,000 \pi \delta$"
20,20.2,Lemma,3,real_and_complex/20.2 Lemma_20_3.jpg,"$\left|Q(\zeta, z)-\frac{1}{z-\zeta}\right|<\frac{1,000 r^{2}}{|z-\zeta|^{3}}$"
20,20.5,Theorem,18,real_and_complex/20.5 Theorem_20_18.jpg,"$Q_{j}(\zeta, z)=g_{j}(z)+\left(\zeta-b_{j}\right) g_{j}^{2}(z)$"
2,2.25,The,4,real_and_complex/2.25 The Vitali-Carathéodory Theorem_2_4.jpg,"$c_{i} \mu\left(V_{i}-K_{i}\right)<2^{-i-1} \epsilon \quad(i=1,2,3, \ldots)$"
17,17.11,Theorem,6,real_and_complex/17.11 Theorem_17_6.jpg,"and
\[
f(z)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} P\left(z, e^{i t}\right) f^{*}\left(e^{i t}\right) d t .
\]"
20,20.2,Lemma,12,real_and_complex/20.2 Lemma_20_12.jpg,$\lambda_{2}(\zeta)=\frac{1}{2 \pi i} \int_{\Gamma_{0}}(z-\zeta) g(z) d z=b-\zeta$
15,15.15,Theorem,3,real_and_complex/15.15 Theorem_15_3.jpg,$m\left(1-h g_{n} ; \alpha\right) \geq m(\varphi ; \alpha) \quad(\alpha \in \Omega)$
4,4.14,Theorem,1,real_and_complex/4.14 Theorem_4_1.jpg,$y=\sum_{\alpha \in F} \varphi(\alpha) u_{\alpha}$
10,10.30,Theorem,3,real_and_complex/10.30 Theorem_10_3.jpg,$\left|\varphi\left(a+r e^{i \theta}\right)-\varphi(a)\right|>2 c \quad(-\pi \leq \theta \leq \pi)$
9,9.6,Theorem,1,real_and_complex/9.6 Theorem _9_1.jpg,$\|\hat{f}\|_{\infty} \leq\|f\|_{1}$.
10,10.11,Theorem,2,real_and_complex/10.11 Theorem_10_2.jpg,$\operatorname{Ind}_{\gamma}(z)=\left\{\begin{array}{ll}1 & \text { if }|z-a|<r \\ 0 & \text { if }|z-a|>r\end{array}\right.$
9,9.21,Theorem,11,real_and_complex/9.21 Theorem_9_11.jpg,$\beta(x)=e^{-i t x}$.
5,5.17,Proposition,1,real_and_complex/5.17 Proposition_5_1.jpg,$f(x)=u(x)-i u(i x) \quad(x \in V)$
18,18.13,Theorem,2,real_and_complex/18.13 Theorem_18_2.jpg,"$\varphi(x)+\varphi(y)=\varphi(x+y), \quad \lambda \varphi(x)=\varphi(\lambda x)$"
7,7.13,Theorem,4,real_and_complex/7.13 Theorem_7_4.jpg,$(\bar{D} \mu)(x)=\left(\bar{D} \mu_{2}\right)(x) \leq\left(M \mu_{2}\right)(x)$
18,18.5,Theorem,3,real_and_complex/18.5 Theorem_18_3.jpg,$\frac{(x-\mu e)^{-1}-(x-\lambda e)^{-1}}{\mu-\lambda} \rightarrow(x-\lambda e)^{-2}$
10,10.35,Cauchy’s,8,real_and_complex/10.35 Cauchy’s Theorem_10_8.jpg,$h(z)=0$.
1,1.34,Lebesgue’s,4,real_and_complex/1.34 Lebesgue’s Dominated Convergence Theorem_1_4.jpg,$\lim _{n \rightarrow \infty} \int_{X} f_{n} d \mu=\int_{X} f d \mu$.
16,16.16,Remark,3,real_and_complex/16.16 Remark_16_3.jpg,$\operatorname{Ind}_{\Gamma}(w)=\frac{1}{2 \pi i} \int_{\Gamma} g^{\prime}(z) d z=0$
3,3.7,Definition,2,real_and_complex/3.7 Definition_3_2.jpg,"$g^{-1}((\beta, \infty])=\bigcup_{n=1}^{\infty} g^{-1}\left(\left(\beta+\frac{1}{n}, \infty\right]\right)$"
2,2.13,Theorem,2,real_and_complex/2.13 Theorem_2_2.jpg,
5,5.8,The,2,real_and_complex/5.8 The Banach-Steinhaus Theorem_5_2.jpg,$\sup _{\alpha \in A}\left\|\Lambda_{\alpha} x\right\|=\infty$
7,7.21,Theorem,6,real_and_complex/7.21 Theorem_7_6.jpg,$f(b)-f(a) \leq \int_{a}^{b} f^{\prime}(t) d t$
16,14.19,(and,3,real_and_complex/14.19 (and Remark_16_3.jpg,"$h(-1+i y)=h(1+i y)=h(\tau(-1+i y)) \quad(0<y<\infty)$,"
7,7.2,Definition,5,real_and_complex/7.2 Definition_7_5.jpg,"$\mu(B(x, r))=\operatorname{tm}(B(x, r))$"
